ablation,catalog_family,source_anchor,regime,split,seed,episodes,success,success_probability,utility,mechanism_recall,rare_mechanism_recall,coverage_false_negative,tail_mechanism_failure,unsafe_deployment_failure,redundancy_rate,selection_cost,annotation_burden,label_noise_risk,schema_mismatch_rate,provenance_risk,calibration_ece,audit_risk_score,regret_to_full
full_mechanism_coverage_gap_audit,robonet_multi_robot_video,RoboNet,nominal_metadata,heldout_combined_catalog_gap,0,6,0.5,0.665997,0.590116,0.694575,0.583852,0.0,0.03491,0.019896,0.10517,0.195772,0.123505,0.031976,0.0401,0.035676,0.026328,0.03613,0.0
full_mechanism_coverage_gap_audit,robonet_multi_robot_video,RoboNet,nominal_metadata,heldout_combined_catalog_gap,1,6,0.833333,0.674911,0.921647,0.682024,0.571362,0.0,0.033111,0.019529,0.109439,0.195772,0.123505,0.02728,0.033415,0.036243,0.026033,0.034597,0.0
full_mechanism_coverage_gap_audit,robonet_multi_robot_video,RoboNet,nominal_metadata,heldout_combined_catalog_gap,2,6,0.333333,0.672954,0.420325,0.675088,0.566738,0.0,0.034437,0.02037,0.10017,0.195772,0.123505,0.031319,0.038108,0.037524,0.023863,0.036013,0.0
full_mechanism_coverage_gap_audit,robonet_multi_robot_video,RoboNet,nominal_metadata,heldout_combined_catalog_gap,3,6,0.666667,0.652874,0.751445,0.664003,0.561903,0.0,0.035144,0.020707,0.105179,0.195772,0.123505,0.034047,0.037825,0.038083,0.024167,0.036712,0.0
full_mechanism_coverage_gap_audit,robonet_multi_robot_video,RoboNet,nominal_metadata,heldout_combined_catalog_gap,4,6,0.833333,0.656804,0.920417,0.662017,0.572651,0.0,0.028363,0.015082,0.105474,0.195772,0.123505,0.028083,0.037928,0.036053,0.023151,0.028813,0.0
full_mechanism_coverage_gap_audit,robonet_multi_robot_video,RoboNet,nominal_metadata,heldout_combined_catalog_gap,5,6,0.833333,0.674979,0.919263,0.682761,0.554543,0.0,0.04233,0.023152,0.101297,0.195772,0.123505,0.027789,0.035407,0.038298,0.023798,0.043323,0.0
full_mechanism_coverage_gap_audit,robonet_multi_robot_video,RoboNet,nominal_metadata,heldout_combined_catalog_gap,6,6,0.833333,0.664424,0.919185,0.6879,0.553099,0.0,0.039417,0.030054,0.104562,0.195772,0.123505,0.026384,0.041512,0.037475,0.02883,0.04459,0.0
full_mechanism_coverage_gap_audit,robonet_multi_robot_video,RoboNet,nominal_metadata,heldout_combined_catalog_gap,7,6,0.833333,0.670652,0.919416,0.665987,0.568299,0.0,0.035076,0.017594,0.102369,0.195772,0.123505,0.029653,0.039891,0.037553,0.027371,0.035104,0.0
full_mechanism_coverage_gap_audit,robonet_multi_robot_video,RoboNet,nominal_metadata,heldout_combined_catalog_gap,8,6,1.0,0.677539,1.0,0.681947,0.565553,0.000115,0.034354,0.014228,0.104023,0.195772,0.123505,0.029086,0.036862,0.03636,0.025429,0.032994,0.0
full_mechanism_coverage_gap_audit,robonet_multi_robot_video,RoboNet,nominal_metadata,heldout_combined_catalog_gap,9,6,0.5,0.653636,0.586515,0.675371,0.569641,0.0,0.039245,0.01931,0.102576,0.195772,0.123505,0.029663,0.040633,0.034006,0.0271,0.039088,0.0
full_mechanism_coverage_gap_audit,robonet_multi_robot_video,RoboNet,contact_transition_gap,heldout_combined_catalog_gap,0,6,1.0,0.650471,1.0,0.675885,0.589876,0.004119,0.054089,0.026184,0.102733,0.195772,0.124363,0.034861,0.034948,0.03391,0.029088,0.057777,0.0
full_mechanism_coverage_gap_audit,robonet_multi_robot_video,RoboNet,contact_transition_gap,heldout_combined_catalog_gap,1,6,0.666667,0.647979,0.749391,0.672291,0.561269,0.00186,0.050852,0.025653,0.105048,0.195772,0.124363,0.035244,0.036246,0.039093,0.028606,0.052826,0.0
full_mechanism_coverage_gap_audit,robonet_multi_robot_video,RoboNet,contact_transition_gap,heldout_combined_catalog_gap,2,6,0.666667,0.653621,0.748962,0.670667,0.561191,0.005931,0.046577,0.029786,0.102975,0.195772,0.124363,0.028491,0.04345,0.034608,0.026714,0.055757,0.0
full_mechanism_coverage_gap_audit,robonet_multi_robot_video,RoboNet,contact_transition_gap,heldout_combined_catalog_gap,3,6,0.333333,0.655738,0.416318,0.677392,0.566032,0.007086,0.056198,0.022502,0.098811,0.195772,0.124363,0.031139,0.036108,0.03438,0.024979,0.060486,0.0
full_mechanism_coverage_gap_audit,robonet_multi_robot_video,RoboNet,contact_transition_gap,heldout_combined_catalog_gap,4,6,0.666667,0.663844,0.748556,0.678291,0.554047,0.003431,0.058309,0.021052,0.101647,0.195772,0.124363,0.036772,0.043796,0.039665,0.030622,0.057689,0.0
full_mechanism_coverage_gap_audit,robonet_multi_robot_video,RoboNet,contact_transition_gap,heldout_combined_catalog_gap,5,6,0.666667,0.657569,0.747788,0.672742,0.55035,0.007975,0.050691,0.024576,0.104399,0.195772,0.124363,0.031863,0.04353,0.039442,0.028521,0.058281,0.0
full_mechanism_coverage_gap_audit,robonet_multi_robot_video,RoboNet,contact_transition_gap,heldout_combined_catalog_gap,6,6,0.666667,0.646634,0.749355,0.678416,0.570753,0.005114,0.053433,0.02798,0.108334,0.195772,0.124363,0.034232,0.041803,0.035756,0.022994,0.059179,0.0
full_mechanism_coverage_gap_audit,robonet_multi_robot_video,RoboNet,contact_transition_gap,heldout_combined_catalog_gap,7,6,1.0,0.663589,1.0,0.684467,0.562904,0.004597,0.05805,0.028564,0.104352,0.195772,0.124363,0.036002,0.035235,0.035036,0.02734,0.062416,0.0
full_mechanism_coverage_gap_audit,robonet_multi_robot_video,RoboNet,contact_transition_gap,heldout_combined_catalog_gap,8,6,0.5,0.656927,0.581653,0.680779,0.550219,0.002581,0.057422,0.027575,0.105771,0.195772,0.124363,0.031209,0.043342,0.03222,0.02527,0.059435,0.0
full_mechanism_coverage_gap_audit,robonet_multi_robot_video,RoboNet,contact_transition_gap,heldout_combined_catalog_gap,9,6,0.666667,0.660771,0.750673,0.679469,0.57349,0.011264,0.047565,0.020735,0.105518,0.195772,0.124363,0.030089,0.040293,0.038403,0.022633,0.057305,0.0
full_mechanism_coverage_gap_audit,robonet_multi_robot_video,RoboNet,force_tactile_gap,heldout_combined_catalog_gap,0,6,0.666667,0.650442,0.74861,0.688292,0.536131,0.002111,0.054102,0.024282,0.105689,0.195772,0.124785,0.034685,0.04994,0.035636,0.026251,0.054829,0.0
full_mechanism_coverage_gap_audit,robonet_multi_robot_video,RoboNet,force_tactile_gap,heldout_combined_catalog_gap,1,6,0.833333,0.654149,0.91899,0.688833,0.56476,0.001485,0.047795,0.024018,0.101895,0.195772,0.124785,0.033196,0.041215,0.036262,0.027513,0.04934,0.0
full_mechanism_coverage_gap_audit,robonet_multi_robot_video,RoboNet,force_tactile_gap,heldout_combined_catalog_gap,2,6,0.666667,0.662166,0.748715,0.685582,0.55608,0.006975,0.054473,0.025914,0.108552,0.195772,0.124785,0.035604,0.044857,0.034663,0.030771,0.060787,0.0
